stc_label	sentence	category
2_aqueous_chemistry_da	aqueous chemistry data minor constituents utah	Table
IN_other analytical data	other analytical data	IN
IN_location uncertainty statement	location uncertainty statement	IN
IN_specimen collection method	specimen collection method	IN
IN_source uri	source uri	IN
IN_specimen collection date	specimen collection date	IN
IN_specimen id	specimen id	IN
OUT_pa school districts	pa school districts	OUT
OUT_result depth altitude reference point text	result depth altitude reference point text	OUT
IN_fluid temperature c	fluid temperature c	IN
IN_plss meridians	plss meridians	IN
IN_discharge units	discharge units	IN
IN_other site id	other site id	IN
IN_analysis date time	analysis date time	IN
IN_sampling feature type	sampling feature type	IN
OUT_analysis start date	analysis start date	OUT
IN_elevation ft msl	elevation ft msl	IN
IN_sr mg l	sr mg l	IN
IN_b mg l	b mg l	IN
IN_location 1	location 1	IN
OUT_county land	county land	OUT
IN_metadata uri	metadata uri	IN
IN_section part	section part	IN
IN_sampling feature name	sampling feature name	IN
OUT_data source name	data source name	OUT
IN_lat degree	lat degree	IN
IN_long degree	long degree	IN
IN_fe mg l	fe mg l	IN
OUT_floor level tested	floor level tested	OUT
IN_h mg l	h mg l	IN
OUT_result sample fraction text	result sample fraction text	OUT
IN_zr mg l	zr mg l	IN
IN_specimen description	specimen description	IN
IN_br mg l	br mg l	IN
IN_mn mg l	mn mg l	IN
IN_analytical procedure	analytical procedure	IN
OUT_activity identifier	activity identifier	OUT
OUT_laboratory name	laboratory name	OUT
OUT_detection quantitation limit type name	detection quantitation limit type name	OUT
IN_drilled depth ft	drilled depth ft	IN
IN_i mg l	i mg l	IN
IN_srs	srs	IN
OUT_activity media subdivision name	activity media subdivision name	OUT
OUT_company state	company state	OUT
OUT_state land	state land	OUT
OUT_result detection condition text	result detection condition text	OUT
OUT_permit expiration date	permit expiration date	OUT
IN_analysis name	analysis name	IN
OUT_company name	company name	OUT
OUT_company address	company address	OUT
OUT_company city	company city	OUT
OUT_company zip	company zip	OUT
OUT_result value type name	result value type name	OUT
IN_oh mg l	oh mg l	IN
OUT_result particle size basis text	result particle size basis text	OUT
